"","Date_Group","Bin_Number","Position","n_reps","Element","Value","Treatment_Number","Surface","Inoculation","Group"
"1","Week_10","T5R1",1,2,"Fe_mean",1.5534,5,"Trough","Uncolonized","Bare"
"2","Week_10","T5R1",2,2,"Fe_mean",1.49515,5,"Trough","Uncolonized","Bare"
"3","Week_10","T5R1",5,2,"Fe_mean",1.58365,5,"Mound","Uncolonized","Bare"
"4","Week_10","T5R1",6,2,"Fe_mean",0.7693,5,"Mound","Uncolonized","Bare"
"5","Week_10","T5R2",1,2,"Fe_mean",1.5897,5,"Trough","Uncolonized","Bare"
"6","Week_10","T5R2",2,2,"Fe_mean",1.29905,5,"Trough","Uncolonized","Bare"
"7","Week_10","T5R2",5,2,"Fe_mean",1.5538,5,"Mound","Uncolonized","Bare"
"8","Week_10","T5R2",6,3,"Fe_mean",1.1562,5,"Mound","Uncolonized","Bare"
"9","Week_10","T5R3",1,2,"Fe_mean",1.52045,5,"Trough","Uncolonized","Bare"
"10","Week_10","T5R3",2,2,"Fe_mean",1.10055,5,"Trough","Uncolonized","Bare"
"11","Week_10","T5R3",5,2,"Fe_mean",1.34575,5,"Mound","Uncolonized","Bare"
"12","Week_10","T5R3",6,2,"Fe_mean",1.91375,5,"Mound","Uncolonized","Bare"
"13","Week_5","T5R1",1,2,"Fe_mean",1.3343,5,"Trough","Uncolonized","Bare"
"14","Week_5","T5R1",2,2,"Fe_mean",0.8023,5,"Trough","Uncolonized","Bare"
"15","Week_5","T5R1",5,2,"Fe_mean",1.59135,5,"Mound","Uncolonized","Bare"
"16","Week_5","T5R1",6,2,"Fe_mean",1.1464,5,"Mound","Uncolonized","Bare"
"17","Week_5","T5R2",1,2,"Fe_mean",1.02825,5,"Trough","Uncolonized","Bare"
"18","Week_5","T5R2",2,2,"Fe_mean",1.5264,5,"Trough","Uncolonized","Bare"
"19","Week_5","T5R2",5,2,"Fe_mean",1.16325,5,"Mound","Uncolonized","Bare"
"20","Week_5","T5R2",6,2,"Fe_mean",1.6636,5,"Mound","Uncolonized","Bare"
"21","Week_5","T5R3",1,2,"Fe_mean",1.12205,5,"Trough","Uncolonized","Bare"
"22","Week_5","T5R3",2,2,"Fe_mean",1.195,5,"Trough","Uncolonized","Bare"
"23","Week_5","T5R3",5,2,"Fe_mean",0.63635,5,"Mound","Uncolonized","Bare"
"24","Week_5","T5R3",6,2,"Fe_mean",1.5345,5,"Mound","Uncolonized","Bare"
"25","Week_10","T5R1",3,3,"Fe_mean",1.53523333333333,5,"Trough","Inoculated","Crust"
"26","Week_10","T5R1",4,2,"Fe_mean",1.74225,5,"Trough","Inoculated","Crust"
"27","Week_10","T5R1",7,3,"Fe_mean",3.24736666666667,5,"Mound","Inoculated","Crust"
"28","Week_10","T5R1",8,2,"Fe_mean",2.19365,5,"Mound","Inoculated","Crust"
"29","Week_10","T5R2",3,2,"Fe_mean",4.5628,5,"Trough","Inoculated","Crust"
"30","Week_10","T5R2",4,2,"Fe_mean",1.5959,5,"Trough","Inoculated","Crust"
"31","Week_10","T5R2",7,2,"Fe_mean",1.30335,5,"Mound","Inoculated","Crust"
"32","Week_10","T5R2",8,2,"Fe_mean",2.272,5,"Mound","Inoculated","Crust"
"33","Week_10","T5R3",3,2,"Fe_mean",2.48985,5,"Trough","Inoculated","Crust"
"34","Week_10","T5R3",4,2,"Fe_mean",2.33315,5,"Trough","Inoculated","Crust"
"35","Week_10","T5R3",7,2,"Fe_mean",1.1541,5,"Mound","Inoculated","Crust"
"36","Week_10","T5R3",8,2,"Fe_mean",3.41215,5,"Mound","Inoculated","Crust"
"37","Week_5","T5R1",3,3,"Fe_mean",1.5488,5,"Trough","Inoculated","Crust"
"38","Week_5","T5R1",4,2,"Fe_mean",1.37175,5,"Trough","Inoculated","Crust"
"39","Week_5","T5R1",7,2,"Fe_mean",2.69535,5,"Mound","Inoculated","Crust"
"40","Week_5","T5R1",8,2,"Fe_mean",2.19145,5,"Mound","Inoculated","Crust"
"41","Week_5","T5R2",3,2,"Fe_mean",1.98325,5,"Trough","Inoculated","Crust"
"42","Week_5","T5R2",4,2,"Fe_mean",2.95385,5,"Trough","Inoculated","Crust"
"43","Week_5","T5R2",7,2,"Fe_mean",1.72285,5,"Mound","Inoculated","Crust"
"44","Week_5","T5R2",8,2,"Fe_mean",3.63285,5,"Mound","Inoculated","Crust"
"45","Week_5","T5R3",3,2,"Fe_mean",1.7006,5,"Trough","Inoculated","Crust"
"46","Week_5","T5R3",4,2,"Fe_mean",2.64115,5,"Trough","Inoculated","Crust"
"47","Week_5","T5R3",7,2,"Fe_mean",0.97535,5,"Mound","Inoculated","Crust"
"48","Week_5","T5R3",8,2,"Fe_mean",0.22555,5,"Mound","Inoculated","Crust"
